----------------------|---------|----------|-----------|------------|----------|----------|
File                  | % score | # killed | # timeout | # survived | # no cov | # errors |
----------------------|---------|----------|-----------|------------|----------|----------|
All files             |   62.34 |      119 |        73 |        116 |        0 |        5 |
 App                  |   20.00 |        1 |         0 |          4 |        0 |        0 |
  App.tsx             |   20.00 |        1 |         0 |          4 |        0 |        0 |
 Cell                 |   66.67 |        2 |         0 |          1 |        0 |        0 |
  Cell.tsx            |   66.67 |        2 |         0 |          1 |        0 |        0 |
 Field                |   21.05 |        5 |         3 |         30 |        0 |        0 |
  Field.tsx           |   21.05 |        5 |         3 |         30 |        0 |        0 |
 FieldProp            |  100.00 |        1 |         0 |          0 |        0 |        0 |
  FieldProp.tsx       |  100.00 |        1 |         0 |          0 |        0 |        0 |
 Game                 |   92.17 |       40 |        66 |          9 |        0 |        0 |
  Game.ts             |   92.17 |       40 |        66 |          9 |        0 |        0 |
 GamePanel            |   30.77 |        9 |         3 |         27 |        0 |        0 |
  GamePanel.tsx       |   30.77 |        9 |         3 |         27 |        0 |        0 |
 GameSettingsPanel    |  100.00 |        1 |         0 |          0 |        0 |        0 |
  Group.tsx           |  100.00 |        1 |         0 |          0 |        0 |        0 |
 Input                |   63.64 |        7 |         0 |          4 |        0 |        0 |
  NumberTextBox.tsx   |   63.64 |        7 |         0 |          4 |        0 |        0 |
 LoginForm            |   54.55 |        6 |         0 |          5 |        0 |        0 |
  LoginForm.tsx       |   54.55 |        6 |         0 |          5 |        0 |        0 |
 PlayProp             |   53.33 |        8 |         0 |          7 |        0 |        0 |
  PlayProp.tsx        |   53.33 |        8 |         0 |          7 |        0 |        0 |
 ProviderWrapper      |    0.00 |        0 |         0 |          1 |        0 |        0 |
  ProviderWrapper.tsx |    0.00 |        0 |         0 |          1 |        0 |        0 |
 Routes               |   41.67 |        5 |         0 |          7 |        0 |        0 |
  AppRouter.tsx       |   41.67 |        5 |         0 |          7 |        0 |        0 |
 SpeedEdit            |   50.00 |       10 |         0 |         10 |        0 |        0 |
  SpeedEdit.tsx       |   50.00 |       10 |         0 |         10 |        0 |        0 |
 Store                |   69.44 |       24 |         1 |         11 |        0 |        5 |
  flowSlice.ts        |   52.38 |       10 |         1 |         10 |        0 |        2 |
  gameplaySlice.ts    |   91.67 |       11 |         0 |          1 |        0 |        2 |
  store.ts            |  100.00 |        3 |         0 |          0 |        0 |        1 |
----------------------|---------|----------|-----------|------------|----------|----------|
